epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2147,1.19711,1.94113,1.43769,0.48372,0.56929,0.51176,0.23029,1.47666,2.67073,1.8602,0.000661017,0.000661017,0.000661017
2,43.8998,1.34355,1.6355,1.50567,0.47984,0.39732,0.37388,0.17827,1.95013,3.78751,2.28133,0.0013233,0.0013233,0.0013233
3,64.4464,1.34254,1.42493,1.50823,0.41965,0.41573,0.33275,0.13601,1.98637,2.41618,2.06573,0.00198119,0.00198119,0.00198119
4,85.8103,1.33108,1.35492,1.48853,0.6107,0.5618,0.57888,0.28539,1.80475,2.07821,2.09235,0.0019802,0.0019802,0.0019802
5,101.365,1.25143,1.26193,1.43539,0.64169,0.6367,0.64826,0.36269,1.41095,1.76088,1.66953,0.0019736,0.0019736,0.0019736
6,120.367,1.26586,1.24333,1.45259,0.65273,0.62655,0.67286,0.36654,1.44406,1.39459,1.6803,0.001967,0.001967,0.001967
7,141.517,1.23534,1.19551,1.42005,0.62981,0.5618,0.61558,0.3444,1.37209,1.67549,1.57861,0.0019604,0.0019604,0.0019604
8,163.531,1.19672,1.14582,1.39719,0.68951,0.66292,0.70677,0.38395,1.31271,1.32748,1.55103,0.0019538,0.0019538,0.0019538
9,185.517,1.17811,1.1244,1.38408,0.70991,0.75157,0.76025,0.44176,1.30653,1.0973,1.47192,0.0019472,0.0019472,0.0019472
10,207.535,1.14163,1.09275,1.35927,0.60334,0.71161,0.65837,0.37268,1.29513,1.25234,1.55108,0.0019406,0.0019406,0.0019406
11,228.206,1.10741,1.02573,1.32764,0.79149,0.75352,0.8104,0.49076,1.19827,1.05896,1.466,0.001934,0.001934,0.001934
12,248.808,1.11586,1.00989,1.32185,0.79985,0.74836,0.83081,0.51316,1.12626,1.03338,1.42096,0.0019274,0.0019274,0.0019274
13,270.828,1.076,0.99176,1.32346,0.74039,0.79775,0.81051,0.49136,1.16239,1.05864,1.40587,0.0019208,0.0019208,0.0019208
14,292.834,1.07479,0.96699,1.3218,0.68887,0.76291,0.7589,0.47764,1.09402,1.0853,1.38732,0.0019142,0.0019142,0.0019142
15,313.449,1.06397,0.95053,1.31414,0.77705,0.78323,0.81108,0.49313,1.19017,1.06549,1.44559,0.0019076,0.0019076,0.0019076
16,335.025,1.03825,0.91706,1.28464,0.75625,0.82505,0.85222,0.53015,1.09651,0.93556,1.41624,0.001901,0.001901,0.001901
