epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7152,1.22536,1.90591,1.42841,0.66171,0.48754,0.53841,0.25477,1.28872,2.62571,2.16698,0.000661017,0.000661017,0.000661017
2,43.3905,1.52212,1.61284,1.51887,0.55477,0.43772,0.43955,0.19306,1.7345,2.38428,2.11587,0.0013233,0.0013233,0.0013233
3,65.3074,1.54358,1.47048,1.55945,0.63783,0.5516,0.57929,0.26555,1.81632,2.19054,2.15373,0.00198119,0.00198119,0.00198119
4,87.1669,1.51134,1.33004,1.54645,0.64161,0.55516,0.61076,0.29657,1.76854,1.68922,1.88306,0.0019802,0.0019802,0.0019802
5,106.157,1.45854,1.26844,1.49912,0.74891,0.64413,0.71689,0.35293,1.85004,1.75598,1.82718,0.0019736,0.0019736,0.0019736
6,128.009,1.42605,1.24127,1.50933,0.60156,0.66548,0.65134,0.31398,1.72423,1.55375,1.73375,0.001967,0.001967,0.001967
7,148.606,1.41077,1.20283,1.49109,0.75428,0.68824,0.74024,0.38419,1.66645,1.55117,1.71516,0.0019604,0.0019604,0.0019604
8,170.472,1.38159,1.1586,1.47735,0.76501,0.72242,0.75689,0.43608,1.64123,1.21318,1.70668,0.0019538,0.0019538,0.0019538
9,192.307,1.36185,1.16147,1.4681,0.73239,0.70463,0.77599,0.44355,1.52905,1.1603,1.56115,0.0019472,0.0019472,0.0019472
10,214.17,1.31418,1.08764,1.43715,0.77928,0.76645,0.83049,0.4921,1.53734,1.08154,1.55863,0.0019406,0.0019406,0.0019406
11,236.051,1.29638,1.07381,1.41277,0.69577,0.72242,0.75051,0.42972,1.54748,1.41178,1.62105,0.001934,0.001934,0.001934
12,258.163,1.30483,1.04779,1.41872,0.70125,0.79356,0.79438,0.45211,1.53519,1.248,1.58544,0.0019274,0.0019274,0.0019274
13,277.162,1.29173,1.023,1.42516,0.74113,0.76157,0.80418,0.48714,1.4761,1.13526,1.51992,0.0019208,0.0019208,0.0019208
14,299.047,1.27437,1.02363,1.42539,0.76725,0.80783,0.85298,0.51952,1.42134,1.11886,1.5205,0.0019142,0.0019142,0.0019142
15,320.737,1.23624,1.00536,1.41211,0.85588,0.82423,0.87691,0.55022,1.32165,0.9265,1.49609,0.0019076,0.0019076,0.0019076
16,342.572,1.23057,0.97044,1.39787,0.76123,0.82206,0.83911,0.53065,1.42576,1.04226,1.54767,0.001901,0.001901,0.001901
