epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5257,1.24318,1.85142,1.4254,0.77795,0.33663,0.50476,0.25338,1.12565,2.84529,1.92377,0.000661017,0.000661017,0.000661017
2,46.1916,1.51546,1.60299,1.53016,0.30322,0.46263,0.31065,0.13901,1.75893,2.57237,1.99056,0.0013233,0.0013233,0.0013233
3,69.8657,1.56762,1.47116,1.57664,0.61181,0.5694,0.58531,0.2874,1.74198,4.06089,2.09128,0.00198119,0.00198119,0.00198119
4,93.5723,1.52188,1.35155,1.55791,0.71531,0.61699,0.70544,0.35583,1.72938,1.48912,1.84642,0.0019802,0.0019802,0.0019802
5,115.4,1.45541,1.26439,1.50994,0.68072,0.66192,0.66261,0.33233,1.80983,1.61579,1.88442,0.0019736,0.0019736,0.0019736
6,139.019,1.42653,1.23669,1.51715,0.57133,0.56442,0.53295,0.25747,1.71676,1.69918,1.74708,0.001967,0.001967,0.001967
7,160.692,1.40813,1.20559,1.49801,0.66442,0.66548,0.69244,0.36743,1.7666,1.65509,1.76045,0.0019604,0.0019604,0.0019604
8,180.528,1.39209,1.16902,1.47688,0.63566,0.67972,0.66538,0.38014,1.62068,1.31289,1.69124,0.0019538,0.0019538,0.0019538
9,201.338,1.37149,1.14666,1.46736,0.76295,0.74449,0.79229,0.44938,1.65141,1.22371,1.70862,0.0019472,0.0019472,0.0019472
10,225.141,1.31687,1.09327,1.44206,0.76978,0.73776,0.79756,0.4677,1.60263,1.08585,1.55278,0.0019406,0.0019406,0.0019406
11,248.672,1.27379,1.06068,1.4111,0.79778,0.75811,0.82375,0.48797,1.44577,1.03205,1.53347,0.001934,0.001934,0.001934
12,270.187,1.28873,1.05122,1.41483,0.75617,0.75445,0.80058,0.48941,1.39658,1.30536,1.5068,0.0019274,0.0019274,0.0019274
