epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4692,1.24368,1.88592,1.42975,0.80658,0.31164,0.50874,0.23093,1.24226,2.96754,1.92528,0.000661017,0.000661017,0.000661017
2,48.0822,1.52239,1.6169,1.52593,0.5878,0.56839,0.58819,0.30543,1.38437,2.15359,1.90152,0.0013233,0.0013233,0.0013233
3,72.5191,1.54583,1.43638,1.56438,0.64724,0.53542,0.57073,0.24642,1.94049,2.34422,2.08249,0.00198119,0.00198119,0.00198119
4,96.9853,1.50836,1.35016,1.54526,0.46342,0.4911,0.46482,0.20135,2.32799,1.99697,2.16672,0.0019802,0.0019802,0.0019802
5,121.458,1.46115,1.24885,1.52084,0.67796,0.65836,0.67176,0.34351,1.68881,1.48898,1.86441,0.0019736,0.0019736,0.0019736
6,145.932,1.40241,1.20808,1.48331,0.75874,0.73665,0.77746,0.43952,1.58438,1.20081,1.68401,0.001967,0.001967,0.001967
7,170.425,1.40263,1.18272,1.48738,0.71779,0.6548,0.71703,0.41722,1.61628,1.49629,1.72415,0.0019604,0.0019604,0.0019604
8,195.049,1.38044,1.14597,1.45469,0.75189,0.77224,0.82051,0.47452,1.42967,1.16042,1.54672,0.0019538,0.0019538,0.0019538
9,219.057,1.33986,1.11759,1.4487,0.76036,0.80427,0.82987,0.48402,1.56575,1.0207,1.56681,0.0019472,0.0019472,0.0019472
10,243.651,1.28874,1.07082,1.42345,0.75847,0.77936,0.80212,0.47842,1.5679,1.06489,1.56349,0.0019406,0.0019406,0.0019406
11,267.364,1.28225,1.04746,1.4135,0.80958,0.80071,0.84777,0.51924,1.41466,1.05127,1.55437,0.001934,0.001934,0.001934
12,291.199,1.30136,1.01898,1.40922,0.83169,0.79134,0.87871,0.54518,1.35839,1.02331,1.48654,0.0019274,0.0019274,0.0019274
13,314.688,1.2867,1.01313,1.41846,0.72564,0.81851,0.82597,0.4973,1.44041,1.11854,1.48803,0.0019208,0.0019208,0.0019208
14,338.34,1.25089,0.9872,1.40245,0.78888,0.82562,0.86584,0.55322,1.34077,0.96932,1.52321,0.0019142,0.0019142,0.0019142
15,362.123,1.25282,0.99523,1.40654,0.83338,0.83657,0.85578,0.52071,1.47175,0.94176,1.58224,0.0019076,0.0019076,0.0019076
16,385.994,1.20611,0.97041,1.3816,0.82936,0.79564,0.87771,0.58176,1.24496,0.93423,1.41906,0.001901,0.001901,0.001901
17,404.992,1.20014,0.92994,1.36686,0.81757,0.85053,0.87849,0.55754,1.34611,0.93939,1.46091,0.0018944,0.0018944,0.0018944
18,419.503,1.21484,0.94328,1.37197,0.83479,0.75526,0.84297,0.53833,1.33951,0.97823,1.49014,0.0018878,0.0018878,0.0018878
19,434.006,1.16767,0.913,1.35569,0.85813,0.86105,0.91776,0.61898,1.19389,0.7422,1.38723,0.0018812,0.0018812,0.0018812
20,448.569,1.18807,0.93092,1.36397,0.80816,0.80955,0.87748,0.54454,1.31353,0.97826,1.46628,0.0018746,0.0018746,0.0018746
21,463.232,1.19776,0.9081,1.35224,0.79229,0.76868,0.84959,0.52307,1.35037,0.99144,1.49957,0.001868,0.001868,0.001868
22,478.022,1.16456,0.93153,1.35733,0.8256,0.86121,0.90472,0.60514,1.15365,0.82137,1.36114,0.0018614,0.0018614,0.0018614
23,492.515,1.13534,0.89179,1.33645,0.84271,0.87709,0.90808,0.59127,1.29778,0.7853,1.45503,0.0018548,0.0018548,0.0018548
24,506.95,1.1644,0.89194,1.34756,0.9129,0.85784,0.92837,0.61721,1.24983,0.74051,1.43121,0.0018482,0.0018482,0.0018482
25,521.859,1.15912,0.88929,1.34852,0.85076,0.85053,0.89084,0.59632,1.23419,0.80445,1.40268,0.0018416,0.0018416,0.0018416
26,536.388,1.15776,0.88253,1.34331,0.81801,0.84342,0.86022,0.55481,1.26806,0.90603,1.45949,0.001835,0.001835,0.001835
27,560.154,1.13213,0.86699,1.33439,0.82509,0.81851,0.87891,0.59945,1.19464,0.81261,1.43766,0.0018284,0.0018284,0.0018284
28,584.262,1.14072,0.8726,1.34523,0.84848,0.87683,0.92182,0.63395,1.18102,0.73069,1.36923,0.0018218,0.0018218,0.0018218
29,607.995,1.07917,0.84496,1.30554,0.87302,0.88081,0.91935,0.63167,1.11941,0.74869,1.33971,0.0018152,0.0018152,0.0018152
30,632.124,1.13177,0.8394,1.33539,0.83474,0.8363,0.86483,0.57663,1.28741,0.8818,1.39472,0.0018086,0.0018086,0.0018086
31,656.092,1.1258,0.86974,1.34751,0.74625,0.86866,0.86127,0.58928,1.17684,0.82182,1.39131,0.001802,0.001802,0.001802
32,679.558,1.11203,0.85902,1.33144,0.88049,0.83986,0.90868,0.62697,1.11758,0.75533,1.35334,0.0017954,0.0017954,0.0017954
33,703.254,1.10641,0.84869,1.32429,0.85876,0.84698,0.90886,0.62287,1.20135,0.78619,1.38406,0.0017888,0.0017888,0.0017888
34,727.081,1.07974,0.78494,1.29811,0.84694,0.84342,0.89501,0.62171,1.12342,0.74724,1.33444,0.0017822,0.0017822,0.0017822
35,751.054,1.05593,0.79927,1.29201,0.81341,0.80673,0.85971,0.55227,1.29033,0.85934,1.45136,0.0017756,0.0017756,0.0017756
36,774.867,1.09601,0.81044,1.31211,0.91155,0.86477,0.92352,0.63958,1.14743,0.72888,1.37484,0.001769,0.001769,0.001769
37,798.594,1.07195,0.81012,1.30553,0.85115,0.85464,0.89318,0.62837,1.11561,0.75686,1.38059,0.0017624,0.0017624,0.0017624
38,822.793,1.08315,0.82251,1.31023,0.85023,0.89324,0.91342,0.633,1.17305,0.71307,1.37243,0.0017558,0.0017558,0.0017558
39,844.021,1.06852,0.79417,1.29429,0.81137,0.88256,0.88207,0.58603,1.2395,0.84838,1.4265,0.0017492,0.0017492,0.0017492
40,867.548,1.05244,0.77473,1.28774,0.83383,0.8968,0.90745,0.63532,1.15758,0.74202,1.39735,0.0017426,0.0017426,0.0017426
41,889.135,1.04994,0.78471,1.28394,0.8951,0.90036,0.92345,0.64499,1.10742,0.67898,1.32471,0.001736,0.001736,0.001736
42,911.893,1.08825,0.78512,1.3124,0.86756,0.85409,0.92115,0.62325,1.1325,0.73579,1.34746,0.0017294,0.0017294,0.0017294
43,935.758,1.05222,0.78665,1.29293,0.87877,0.90747,0.91615,0.64841,1.09876,0.69676,1.32072,0.0017228,0.0017228,0.0017228
44,959.481,1.06088,0.78741,1.29493,0.84147,0.86891,0.89792,0.59706,1.1687,0.78787,1.35643,0.0017162,0.0017162,0.0017162
45,983.257,1.03948,0.77739,1.29033,0.85403,0.8968,0.92916,0.65081,1.06231,0.70668,1.2936,0.0017096,0.0017096,0.0017096
46,1007.09,1.05864,0.7901,1.29439,0.87934,0.879,0.91958,0.62492,1.10191,0.71165,1.33765,0.001703,0.001703,0.001703
47,1030.99,1.02368,0.7812,1.28701,0.88107,0.90036,0.92765,0.64375,1.1132,0.68838,1.32948,0.0016964,0.0016964,0.0016964
48,1054.9,1.02539,0.75954,1.28842,0.85592,0.87544,0.92725,0.63545,1.11612,0.6974,1.30547,0.0016898,0.0016898,0.0016898
49,1078.82,1.01676,0.75662,1.27203,0.86133,0.91103,0.93143,0.63417,1.07315,0.70285,1.30759,0.0016832,0.0016832,0.0016832
50,1102.49,1.02765,0.75619,1.27163,0.87969,0.91076,0.93718,0.66047,1.0737,0.63747,1.32131,0.0016766,0.0016766,0.0016766
51,1122.96,1.03418,0.74795,1.27196,0.90496,0.88968,0.94085,0.65016,1.13932,0.67227,1.34322,0.00167,0.00167,0.00167
52,1140.46,1.01223,0.75599,1.2769,0.86553,0.87041,0.9085,0.6354,1.05196,0.66386,1.30111,0.0016634,0.0016634,0.0016634
53,1164.48,1.02566,0.76016,1.28444,0.89455,0.879,0.90387,0.63907,1.09037,0.69305,1.35436,0.0016568,0.0016568,0.0016568
54,1188.35,1.03008,0.76443,1.28406,0.88558,0.88143,0.93357,0.67449,1.04762,0.71328,1.29494,0.0016502,0.0016502,0.0016502
55,1212.4,1.00534,0.73992,1.26841,0.86066,0.91459,0.94005,0.65361,1.09197,0.66811,1.33152,0.0016436,0.0016436,0.0016436
56,1236.3,1.02269,0.73296,1.26719,0.85901,0.85765,0.91098,0.62506,1.09808,0.71216,1.35562,0.001637,0.001637,0.001637
57,1260.47,1.01287,0.73802,1.26649,0.90343,0.89892,0.94021,0.67108,1.01968,0.65463,1.27946,0.0016304,0.0016304,0.0016304
58,1284.48,0.99813,0.74458,1.2612,0.88222,0.87965,0.93125,0.64486,1.06237,0.67424,1.29397,0.0016238,0.0016238,0.0016238
59,1308.09,1.01679,0.73189,1.27141,0.89091,0.87191,0.92289,0.64937,1.06852,0.69409,1.30264,0.0016172,0.0016172,0.0016172
60,1331.71,1.00817,0.71533,1.25888,0.88187,0.87671,0.9073,0.6465,1.08749,0.69349,1.3148,0.0016106,0.0016106,0.0016106
61,1355.58,0.96986,0.71348,1.25136,0.87502,0.87205,0.91421,0.64652,1.06096,0.65851,1.33551,0.001604,0.001604,0.001604
62,1379.26,0.99344,0.71881,1.25507,0.84297,0.87878,0.90794,0.64398,1.06999,0.68006,1.36856,0.0015974,0.0015974,0.0015974
63,1403.37,0.99744,0.72612,1.25921,0.8886,0.90747,0.94195,0.6625,1.09599,0.66869,1.31618,0.0015908,0.0015908,0.0015908
64,1428.01,0.98411,0.71534,1.26535,0.88076,0.89376,0.93055,0.65154,1.07619,0.66656,1.31489,0.0015842,0.0015842,0.0015842
65,1452.8,0.97892,0.69505,1.2426,0.83414,0.91103,0.91887,0.66859,0.96961,0.63769,1.28204,0.0015776,0.0015776,0.0015776
66,1475.23,0.97031,0.70605,1.24753,0.8732,0.90036,0.93347,0.67158,1.0438,0.63607,1.28514,0.001571,0.001571,0.001571
67,1494.04,0.96137,0.70015,1.23611,0.85828,0.93238,0.94528,0.6611,1.07002,0.64016,1.30669,0.0015644,0.0015644,0.0015644
68,1514.98,0.97179,0.69182,1.24669,0.89989,0.90391,0.94022,0.66152,1.05578,0.65145,1.32515,0.0015578,0.0015578,0.0015578
69,1537.34,0.97124,0.71171,1.24475,0.8767,0.91459,0.9372,0.67845,1.05667,0.63157,1.30234,0.0015512,0.0015512,0.0015512
70,1559.94,0.95668,0.6896,1.24187,0.87344,0.88612,0.92793,0.65897,1.06223,0.68572,1.31452,0.0015446,0.0015446,0.0015446
71,1584.36,0.94888,0.68707,1.23508,0.89863,0.88332,0.92016,0.64614,1.05473,0.66055,1.34112,0.001538,0.001538,0.001538
72,1608.71,0.98278,0.70103,1.25759,0.88994,0.89201,0.92052,0.65401,1.00515,0.63413,1.29775,0.0015314,0.0015314,0.0015314
73,1633.04,0.95474,0.67458,1.24066,0.881,0.89574,0.92891,0.67172,1.02143,0.65008,1.2841,0.0015248,0.0015248,0.0015248
74,1657.3,0.99614,0.69762,1.26026,0.88351,0.86368,0.924,0.65136,1.07183,0.68604,1.30367,0.0015182,0.0015182,0.0015182
75,1681.66,0.95397,0.68239,1.23974,0.88854,0.90036,0.92901,0.66794,1.03254,0.64993,1.29467,0.0015116,0.0015116,0.0015116
76,1702.9,0.94995,0.67897,1.23352,0.92377,0.92171,0.9536,0.69461,0.96145,0.58557,1.27444,0.001505,0.001505,0.001505
77,1725.23,0.94814,0.68171,1.25008,0.94602,0.90036,0.95896,0.69468,1.03174,0.5881,1.28067,0.0014984,0.0014984,0.0014984
78,1749.67,0.94015,0.66708,1.23525,0.87486,0.88968,0.92874,0.6869,0.99765,0.62038,1.28218,0.0014918,0.0014918,0.0014918
79,1774.06,0.97931,0.67963,1.24472,0.92849,0.88256,0.94031,0.67607,1.04336,0.61835,1.31851,0.0014852,0.0014852,0.0014852
80,1798.43,0.93161,0.67991,1.23548,0.91711,0.90566,0.94485,0.68216,1.00559,0.6016,1.29547,0.0014786,0.0014786,0.0014786
81,1822.83,0.93667,0.66611,1.23475,0.92094,0.879,0.94274,0.66533,1.02854,0.67867,1.27571,0.001472,0.001472,0.001472
82,1841.82,0.92801,0.66404,1.22249,0.91052,0.86915,0.92479,0.67003,1.02674,0.66649,1.27647,0.0014654,0.0014654,0.0014654
83,1866.18,0.94302,0.66361,1.22259,0.8937,0.89759,0.94144,0.66331,1.02389,0.65315,1.30493,0.0014588,0.0014588,0.0014588
84,1887.25,0.9334,0.6507,1.2181,0.93649,0.89211,0.94394,0.68335,1.01191,0.58758,1.28024,0.0014522,0.0014522,0.0014522
85,1911.62,0.92404,0.66531,1.22207,0.89304,0.89324,0.94176,0.67042,1.04879,0.62779,1.29154,0.0014456,0.0014456,0.0014456
86,1935.99,0.93935,0.65426,1.21875,0.88933,0.91512,0.93798,0.67923,1.03753,0.60854,1.29747,0.001439,0.001439,0.001439
87,1958.32,0.89604,0.6472,1.20581,0.9074,0.90391,0.94682,0.69858,0.95144,0.61659,1.23423,0.0014324,0.0014324,0.0014324
88,1982.73,0.93124,0.65403,1.21436,0.8941,0.88612,0.93322,0.66821,0.98165,0.62894,1.28067,0.0014258,0.0014258,0.0014258
